1,32360,100116,91290,54063,26531,19228,87837,86424,109854,74608,46297,30677,103421,101060,55390,60205,103015,55738,98382,84994,64538,48486,16433,58049,98420,5509,19699,102700,94147,73766,67733,16734,34728,57226,88679,88665,35431,34703,80461,86677,11718,30474,8458,43970,101688,46663,89065,42845,66063,11627
2,82469,18104,10612,95191,102366,96224,7136,26837,67425,4612,26953,55815,58191,83969,73683,38037,55511,47855,82129,50494,23889,55098,109303,61241,35038,44244,22122,3460,83814,82317,68904,92790,99581,84435,89089,87032,21705,68456,81139,98102,38917,33974,40126,96458,92627,55567,20439,100022,101513,47606
3,110798,28943,107129,17287,87420,92379,19326,47382,69717,47622,62673,73088,61324,88058,110872,70594,112161,5346,109233,20208,52860,78129,79868,35152,77095,87807,88605,59040,5629,64436,48446,39653,114201,37485,115266,109125,69398,96087,4798,44470,76943,45198,10676,25959,103775,24847,10716,22083,7051,76604
11,10528,26711,21517,85475,40801,59255,77847,59376,113564,55774,15844,45652,95867,20389,97588,53384,65676,79345,98256,56114,13491,70957,29768,81088,41143,64633,32531,103450,67006,46946,53059,80447,27966,38151,15714,25539,13624,36723,80396,32771,10248,22093,1467,100117,60600,75400,57514,32133,5510,68918
13,78987,18663,106688,38202,93449,35945,80534,39182,48498,114792,65417,42109,89770,35243,112207,22947,94455,109415,64425,40246,72466,21721,17166,46635,35335,76469,57171,51345,22971,65131,32582,41180,84850,19796,87570,30066,40179,90109,69729,68958,59042,14289,64578,12841,112192,36617,70808,327,37662,80618
15,54598,73953,102743,65878,81372,103045,72425,86451,44096,67052,27982,85913,45705,91111,113840,10443,84231,20792,33240,106784,35189,80050,94851,88062,47022,75276,115106,86797,39997,85036,100337,20088,38880,61956,50613,27303,91072,32772,49437,28348,30994,45618,17274,6322,63972,9774,19940,28699,26921,77068
16,91283,86218,96858,103577,69207,22364,51974,21329,79596,30994,87818,16869,92723,16966,84147,93001,46229,40532,54485,33773,108432,2257,107962,58960,111716,99556,101456,104033,17038,87200,87519,104969,9651,102473,13516,69027,34027,104002,86641,51176,48057,45253,54790,22435,103132,70858,111740,106318,107203,97919
17,107085,104978,25684,107013,107420,29418,108239,88288,108172,37775,107098,108192,97466,99655,18789,104962,83644,97370,53044,80822,82497,105836,32683,107805,99746,37051,43840,105291,51966,106407,10203,108854,39836,51315,53821,13110,64338,99583,110854,66657,54381,64834,25540,104297,12868,95743,106821,95306,50687,1462
22,110715,85728,105191,43263,100827,115206,86011,108852,10513,101900,49603,56104,88435,109803,47804,79511,83510,6969,80765,99843,67422,113764,109936,25433,107280,98489,70829,109247,87983,103858,13564,77751,37544,180,95299,10826,84024,101021,66475,90309,68524,61850,17146,7453,89458,100703,88169,16745,110348,16511
25,28715,10230,33633,9810,101999,68328,36159,104707,65097,28310,12485,71618,47618,21693,92109,98848,2817,87077,9844,83503,791,42606,65246,85002,2349,49787,8832,38401,82195,9968,14299,80749,68770,40794,39369,105028,69582,93242,93158,27926,12146,39161,100421,35871,32555,13249,9371,90013,2083,74442
26,36071,110172,90006,80227,46491,87222,47875,89524,88619,80217,63321,78868,85661,80341,25339,108205,43836,69398,103204,51182,75830,70650,94852,88240,70088,87574,80333,49308,36157,86734,40528,81118,67536,37127,88297,50070,80464,71928,42985,88701,94186,78709,70844,8291,56131,37765,71163,80679,78723,47784
