1,69359,32360,91290,19228,87837,109854,46297,103421,55390,60205,103015,55738,48486,16433,5509,73766,88679,88665,35431,34703,80461,30474,8458,43970,46663,42845,66063,11627,51451,107280,110188,72251,51823,54506,113732,88289,39491,100651,91523,38168,46846,7252,35247,103833,92520,93044,78059,4563,11736,81363
2,38861,95191,102366,96224,83969,55511,82129,50494,23889,55098,82317,87032,68456,81139,40126,96458,20439,100022,47606,7156,16414,28554,87258,50603,1974,11581,64936,92194,110713,111840,10612,48555,79623,110412,57605,30053,92198,60219,58888,98252,43246,24843,33974,110766,40585,112789,7890,36499,72853,19952
3,110798,28943,107129,17287,92379,19326,62673,61324,88058,110872,112161,5346,109233,20208,47839,79868,59040,77095,5629,114201,115266,109125,88605,4798,44470,76943,45198,70594,103775,76604,3654,3550,3170,10044,21399,89594,111906,65172,52766,114055,7051,27337,32683,31105,19480,116409,89655,69720,3909,6684
11,8052,113564,55774,10528,15844,45652,20389,65676,79345,15714,13624,80396,32771,57514,32133,68918,26828,79868,19517,27800,32800,33590,106412,83429,10800,61087,36833,54313,68793,31527,68105,6264,112173,19847,8480,66955,52751,109233,18952,33940,78630,57085,5008,87884,52129,19326,82129,31137,8953,81764
13,42719,93449,65417,42109,35243,112207,22947,109415,64425,21721,76469,57171,51345,22971,65131,32582,84850,19796,30066,69729,68958,59042,14289,64578,12841,36617,70808,327,37662,80618,42836,65624,56117,90859,52844,15314,16476,39021,68375,100043,18251,49244,73926,31169,109709,71974,1484,50141,28241,62605
15,54598,112749,27982,81372,73953,10443,102743,91111,65878,85036,45705,80050,67052,75276,49437,20792,88062,28348,94851,17274,63972,86451,9774,72425,103045,53333,105347,14807,113840,8968,85913,45618,116499,44096,50613,71388,69968,9781,107637,6322,2758,92020,106326,65147,384,95527,57554,14819,80249,27862
16,21158,86218,103577,51974,79596,87818,92723,16966,84147,93001,46229,54485,33773,108432,2257,107962,111716,99556,101456,104033,87200,9651,13516,34027,104002,86641,51176,48057,54790,103132,70858,111740,106318,107203,97919,95049,10570,59761,98073,102301,92159,92440,87042,105697,98297,21858,14434,100124,111489,60224
17,107085,55640,25684,104978,107013,29418,37775,107098,97466,18789,104962,32683,107805,37051,43840,51966,10203,108854,53821,64338,99583,54381,64834,25540,12868,95306,1462,10307,43331,107420,49874,58653,99655,61424,39860,81777,14112,16532,53466,24312,12004,45510,97370,43960,110854,51939,94417,20010,15459,866
22,101862,43263,115206,86011,10513,49603,56104,47804,83510,6969,99843,67422,109936,25433,70829,13564,37544,180,61850,17146,7453,16745,16511,1490,15169,38606,38151,4499,27864,68051,6235,38719,52855,6702,39469,55744,70148,106463,31970,376,3778,27761,76524,6865,42503,56260,42910,35305,71749,80289
25,10230,33633,9810,101999,68328,65097,28310,12485,71618,47618,21693,92109,87077,9844,791,42606,65246,2349,49787,14299,80749,68770,93242,39161,100421,35871,13249,2083,74442,15459,24307,11989,96577,23803,32137,3512,109792,81382,65245,111893,12014,26586,42913,4581,13087,21019,82044,2632,113378,13251
26,110172,47875,36073,87222,46491,89524,94852,69398,103204,108205,51182,90006,88619,36071,63321,85661,75830,88240,80341,49308,92421,80227,80217,112070,65285,86734,25339,73604,89677,113593,25356,94186,78868,71163,92873,87826,70088,106741,47781,37127,87574,89864,96087,67536,89254,88297,69979,88580,81118,80679
27,58931,5872,90156,13131,6626,31946,3799,40754,35402,89217,88337,40272,28413,89872,66505,42884,91205,10750,114393,50286,52695,69184,816,14933,72482,52300,19543,50661,94991,14690,39059,20306,35946,51342,78583,56048,63079,18863,5258,33665,114147,16984,6970,25376,31385,1772,51364,95722,58570,96949
28,114174,5872,796,90156,19928,80564,13131,92113,4394,71613,73066,50520,51166,80307,23102,41439,110102,1734,6626,37400,51342,81723,1158,39800,88337,35402,27045,25097,71955,49415,49196,14731,110390,112623,85140,1394,104235,7988,20866,66781,56231,27236,1923,75977,42884,816,91205,76977,37310,52695
34,70430,57014,60501,98678,49616,56239,68882,49231,91331,278,13903,30800,71519,36518,22380,6496,23213,18173,45971,15579,17849,17830,65219,86916,20051,76499,14819,47437,100528,95468,5348,25584,75725,23883,74257,57995,77638,57826,4884,92802,97355,74728,86539,35213,71725,1932,96244,22471,21677,73893
35,113203,112351,114929,73601,116123,114204,82039,117039,116130,115141,115755,113935,74912,113247,116598,97863,112903,113882,110765,111715,48455,92016,43068,114744,115865,47112,110737,116043,117070,111922,110464,113809,46670,115792,114740,116697,83116,112107,85752,78703,14246,965,79932,113538,114138,77093,114125,113192,1958,52677
36,113759,103417,80765,100813,89413,79511,100703,28512,99817,51505,95319,98353,103122,94774,96593,103207,109585,105967,90312,92620,107142,103113,115118,108596,105391,113775,50075,77915,114784,77913,107594,109597,18235,108507,110104,100802,103126,109586,104790,109575,109582,103834,29569,105501,112386,101862,98489,94779,100814,714
39,83353,31100,24593,1006,1877,3115,61117,97748,56578,8473,19271,114364,71548,8746,63279,25799,105154,10588,111069,39840,62081,21160,59212,8380,38318,44617,7260,7154,102037,11220,46925,100172,84212,30494,101091,54501,107064,37011,88535,30861,19001,98466,91514,90155,50158,34920,109549,84059,34934,66083
44,25164,25356,88371,77047,25178,25339,99141,95536,109920,25197,75830,110318,46377,1667,25385,67536,32142,25525,25454,80333,59311,70414,53300,28156,78709,3652,69612,43707,44722,25306,11328,88701,41604,63007,34083,69657,65476,60544,73822,107941,42985,3028,90153,9134,67715,73287,53845,74261,21536,110172
45,16391,1562,2306,102105,21268,7526,39016,5253,3832,4230,12644,1969,16676,133,12754,6386,480,26612,472,49787,25908,25445,2248,1500,34589,71850,11533,49888,20209,4340,1973,2420,1649,104777,54828,23239,64006,42059,64710,19319,7709,6294,106891,39052,65393,67907,26171,10143,60088,53417
47,4230,112900,91164,83861,104711,6700,40814,114434,31531,101393,45355,6950,17417,35452,14547,38557,13302,58513,46210,51231,14552,14546,32712,5253,33056,30778,1374,7636,51524,11452,14616,91058,63802,43913,52697,21213,115035,30728,110134,1515,52081,14239,44386,21340,102449,69995,114055,8564,2148,52766
49,3889,94748,89779,53995,18997,77483,73804,3843,48418,97642,74094,98886,83545,64650,22651,14117,23649,5414,46660,106835,38656,24147,95366,106441,33422,62084,42065,47673,23612,57576,22317,13662,94873,10226,49359,31739,6845,54961,13907,85989,47092,42545,35129,67366,88634,34923,66232,51807,22904,63732
